received_doc_id,tender_reference_number,document_name,file_path,file_size_kb,file_hash,received_date,uploaded_by
32,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/1XG2T0tEGbzvk5hD4HjUjmDp5q0hjWLYm/view?usp=drivesdk,153,,2025-11-21 03:35:01,team.skills.apex@gmail.com
33,HDB000ETT25000023 / PCG-TN250018,2._Index_1.pdf,https://drive.google.com/file/d/1kFbpABawe8I0hz6NLCKIikHbd7-JQmS3/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
34,HDB000ETT25000023 / PCG-TN250018,01010_-_Summary_of_Works_1.pdf,https://drive.google.com/file/d/1--nu0uOWo5Qhc-DufgjfSJp0f3VLl4jL/view?usp=drivesdk,160,,2025-11-21 03:35:01,team.skills.apex@gmail.com
35,HDB000ETT25000023 / PCG-TN250018,Contract_Agreement_1.pdf,https://drive.google.com/file/d/1vA6Px8WhbWafROO-MQg9DQsOEp1pRoGN/view?usp=drivesdk,129,,2025-11-21 03:35:01,team.skills.apex@gmail.com
36,HDB000ETT25000023 / PCG-TN250018,"C_-_General_Conditions,_1.pdf",https://drive.google.com/file/d/1i8C1wogvgT5YjOSHpOLYbX5S_ntIkfNS/view?usp=drivesdk,254,,2025-11-21 03:35:01,team.skills.apex@gmail.com
37,HDB000ETT25000023 / PCG-TN250018,A_-_Title_Page1_1.pdf,https://drive.google.com/file/d/129v4U0-ySZ0fCoZp6Me23SN2Twk1fbdl/view?usp=drivesdk,155,,2025-11-21 03:35:01,team.skills.apex@gmail.com
38,HDB000ETT25000023 / PCG-TN250018,Project_Description_1.pdf,https://drive.google.com/file/d/1HjYjgb1T2D0QfnFe5xal2CV-MI_5MNRK/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
39,HDB000ETT25000023 / PCG-TN250018,H_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1RodkUEi_c0qrDov4Oshv8_UO0li9ZUE0/view?usp=drivesdk,157,,2025-11-21 03:35:01,team.skills.apex@gmail.com
40,HDB000ETT25000023 / PCG-TN250018,G_-_Appendix_4_-_Project_Milestones_Schedule1_1.pdf,https://drive.google.com/file/d/1BVmUQ4AnmLFdOPte0fTU4fW6SisMZSTi/view?usp=drivesdk,123,,2025-11-21 03:35:01,team.skills.apex@gmail.com
41,HDB000ETT25000023 / PCG-TN250018,E_-_Appendix_3-Form_of_Acknowledgement1_1.pdf,https://drive.google.com/file/d/18cS9ZLC2s3rJHWHEWAC5HuFsr9JgSn1l/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
42,HDB000ETT25000023 / PCG-TN250018,C_-_Appendix_1-Form_of_Tender_&_Appendix_to_Tender1_1.pdf,https://drive.google.com/file/d/1FRXmXebeHPXi5GryDkDe8qTVO4pwxwV3/view?usp=drivesdk,171,,2025-11-21 03:35:01,team.skills.apex@gmail.com
43,HDB000ETT25000023 / PCG-TN250018,B_-_Instructions_to_Tenderers_1.pdf,https://drive.google.com/file/d/1iFTOU27MHIzJ7zn7Knuz2hpD2079nyXZ/view?usp=drivesdk,193,,2025-11-21 03:35:01,team.skills.apex@gmail.com
44,HDB000ETT25000023 / PCG-TN250018,D_-_Appendix_2-Tender_Bond1_1.pdf,https://drive.google.com/file/d/11FVZMpl5OLTe8HmM-cwHeUXSunipnI3H/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
45,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/11825qtrkk0cO7vVSDNLQIk7pQhClKtIB/view?usp=drivesdk,153,,2025-11-21 03:35:01,team.skills.apex@gmail.com
46,HDB000ETT25000023 / PCG-TN250018,2._Index_1.pdf,https://drive.google.com/file/d/11FD6Ye6TgVCkMkISIgF_1in976Cv6VMG/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
47,HDB000ETT25000023 / PCG-TN250018,01010_-_Summary_of_Works_1.pdf,https://drive.google.com/file/d/1AVarGbYzXqxnbGHQKX5UuKix3o_tTk4T/view?usp=drivesdk,160,,2025-11-21 03:35:01,team.skills.apex@gmail.com
48,HDB000ETT25000023 / PCG-TN250018,Contract_Agreement_1.pdf,https://drive.google.com/file/d/1Hh5I8ypFeLaeNvw7mMBIQDNL_TR2EE6i/view?usp=drivesdk,129,,2025-11-21 03:35:01,team.skills.apex@gmail.com
49,HDB000ETT25000023 / PCG-TN250018,"C_-_General_Conditions,_1.pdf",https://drive.google.com/file/d/1jw-a3GW4uoSDyE5gnlq_eMFa_O85NwXa/view?usp=drivesdk,254,,2025-11-21 03:35:01,team.skills.apex@gmail.com
50,HDB000ETT25000023 / PCG-TN250018,A_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1lRhU_U-ov0oFjjWnqfNLSA6djXZiCavH/view?usp=drivesdk,155,,2025-11-21 03:35:01,team.skills.apex@gmail.com
51,HDB000ETT25000023 / PCG-TN250018,Project_Description_1.pdf,https://drive.google.com/file/d/1yd09IZ65Qdl7WctIzg96wpWroaNM3q6n/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
52,HDB000ETT25000023 / PCG-TN250018,H_-_Title_Page1_1.pdf,https://drive.google.com/file/d/18i4GdV-V5np-rTCkzEwGETlnfOSwCv9K/view?usp=drivesdk,157,,2025-11-21 03:35:01,team.skills.apex@gmail.com
53,HDB000ETT25000023 / PCG-TN250018,G_-_Appendix_4_-_Project_Milestones_Schedule1_1.pdf,https://drive.google.com/file/d/1GminRO4jrumVXfB4NN-FRGhxFjyXLNZc/view?usp=drivesdk,123,,2025-11-21 03:35:01,team.skills.apex@gmail.com
54,HDB000ETT25000023 / PCG-TN250018,E_-_Appendix_3-Form_of_Acknowledgement1_1.pdf,https://drive.google.com/file/d/1C9wjZlakP9CKOF0if50sLSb09ETYAAVF/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
55,HDB000ETT25000023 / PCG-TN250018,C_-_Appendix_1-Form_of_Tender_&_Appendix_to_Tender1_1.pdf,https://drive.google.com/file/d/10M0y35kJJPvfxTSCARBOVh_wXJGUDJ_T/view?usp=drivesdk,171,,2025-11-21 03:35:01,team.skills.apex@gmail.com
56,HDB000ETT25000023 / PCG-TN250018,B_-_Instructions_to_Tenderers_1.pdf,https://drive.google.com/file/d/1c2tKtQwhSufPGlMnwRakYgmLpvxOFDxL/view?usp=drivesdk,193,,2025-11-21 03:35:01,team.skills.apex@gmail.com
57,HDB000ETT25000023 / PCG-TN250018,D_-_Appendix_2-Tender_Bond1_1.pdf,https://drive.google.com/file/d/1HIqZcKbIUv9-NeemFdo7rEEmNRe002H0/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
58,HDB000ETT25000023 / PCG-TN250018,B_-_Table_of_Contents1_1.pdf,https://drive.google.com/file/d/1mutWgOUzAMr4INo3HdpoE2btc0_DpLyI/view?usp=drivesdk,153,,2025-11-21 03:35:01,team.skills.apex@gmail.com
59,HDB000ETT25000023 / PCG-TN250018,2._Index_1.pdf,https://drive.google.com/file/d/12JEgrAS0eonhZILU6E4na-Dmg88aoc6V/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
60,HDB000ETT25000023 / PCG-TN250018,01010_-_Summary_of_Works_1.pdf,https://drive.google.com/file/d/1a4BlrcZ6rHb4qcY7mnykmE-ZNaYCmVZq/view?usp=drivesdk,160,,2025-11-21 03:35:01,team.skills.apex@gmail.com
61,HDB000ETT25000023 / PCG-TN250018,Contract_Agreement_1.pdf,https://drive.google.com/file/d/1BnmaY-LQJB13hdqLrsVa7hDep-L5rsdp/view?usp=drivesdk,129,,2025-11-21 03:35:01,team.skills.apex@gmail.com
62,HDB000ETT25000023 / PCG-TN250018,"C_-_General_Conditions,_1.pdf",https://drive.google.com/file/d/13X_0NvyPnRTpJIWjiT43DpGW66ZqqKve/view?usp=drivesdk,254,,2025-11-21 03:35:01,team.skills.apex@gmail.com
63,HDB000ETT25000023 / PCG-TN250018,A_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1948q4vKFelufFj9txhY6almMAfDXX0K3/view?usp=drivesdk,155,,2025-11-21 03:35:01,team.skills.apex@gmail.com
64,HDB000ETT25000023 / PCG-TN250018,Project_Description_1.pdf,https://drive.google.com/file/d/1WXKKVdOfLQwVgvzKWSLQ3VFwktFvcUFQ/view?usp=drivesdk,120,,2025-11-21 03:35:01,team.skills.apex@gmail.com
65,HDB000ETT25000023 / PCG-TN250018,H_-_Title_Page1_1.pdf,https://drive.google.com/file/d/1ev5tmDAKSzcd18rPDzD-wRM0r8CT-kof/view?usp=drivesdk,157,,2025-11-21 03:35:01,team.skills.apex@gmail.com
66,HDB000ETT25000023 / PCG-TN250018,G_-_Appendix_4_-_Project_Milestones_Schedule1_1.pdf,https://drive.google.com/file/d/1Yb7ZjQvDWdUDG9xfphCzZ0DES6jZaeCY/view?usp=drivesdk,123,,2025-11-21 03:35:01,team.skills.apex@gmail.com
67,HDB000ETT25000023 / PCG-TN250018,E_-_Appendix_3-Form_of_Acknowledgement1_1.pdf,https://drive.google.com/file/d/1SHqnCey51_YbAlBCvq54aVOumGrS-kLL/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
68,HDB000ETT25000023 / PCG-TN250018,C_-_Appendix_1-Form_of_Tender_&_Appendix_to_Tender1_1.pdf,https://drive.google.com/file/d/1y3B8PEU9xZuMi14qg5tehWfLlO0XFUVO/view?usp=drivesdk,171,,2025-11-21 03:35:01,team.skills.apex@gmail.com
69,HDB000ETT25000023 / PCG-TN250018,B_-_Instructions_to_Tenderers_1.pdf,https://drive.google.com/file/d/1ryLLs4sIBS80Ur-bbQZPSdIGDkciFfYi/view?usp=drivesdk,193,,2025-11-21 03:35:01,team.skills.apex@gmail.com
70,HDB000ETT25000023 / PCG-TN250018,D_-_Appendix_2-Tender_Bond1_1.pdf,https://drive.google.com/file/d/1BGnGxan6ilPFL-wmue67-hL6s_c8fjhM/view?usp=drivesdk,130,,2025-11-21 03:35:01,team.skills.apex@gmail.com
