criteria_id,tender_id,criteria_type,criteria_description,criteria_value,is_met,confidence_score,notes,checked_date,source,introduced_by_addendum_id,added_date,requires_recheck,action_recommendation
472,44,technical,Safety Requirements (Clause 5.6),,,,,,original,,2025-11-22 05:50:42.179553,False,
473,44,technical,Quality Requirements (Clause 5.7),,,,,,original,,2025-11-22 05:50:42.179553,False,
474,44,financial,Banking and Auditor Requirements (Clause 5.8),,,,,,original,,2025-11-22 05:50:42.179553,False,
475,44,financial,Financial Capacity (Clause 2.1),,,,,,original,,2025-11-22 05:51:27.392129,False,
476,44,license,Licensing Requirements (Clause 2.2),,,,,,original,,2025-11-22 05:51:27.392129,False,
477,44,experience,Experience Requirements (Clause 2.5),,,,,,original,,2025-11-22 05:51:27.392129,False,
478,44,technical,Safety Requirements (Clause 2.6),,,,,,original,,2025-11-22 05:51:27.392129,False,
479,44,technical,Quality Requirements (Clause 2.7),,,,,,original,,2025-11-22 05:51:27.392129,False,
480,44,financial,Financial Requirements (Clause 5),,,,,,original,,2025-11-22 05:51:27.392129,False,
481,44,license,License Requirements (Clause 6),,,,,,original,,2025-11-22 05:51:27.392129,False,
482,44,experience,Experience Requirements (Clause 9),,,,,,original,,2025-11-22 05:51:27.392129,False,
483,44,technical,Safety Requirements (Clause 10),,,,,,original,,2025-11-22 05:51:27.392129,False,
484,44,technical,Quality Requirements (Clause 11),,,,,,original,,2025-11-22 05:51:27.392129,False,
485,44,financial,Financial Capacity (Clause 5.1),,,,,,original,,2025-11-22 05:52:08.432955,False,
486,44,license,Licensing Requirements (Clause 5.2),,,,,,original,,2025-11-22 05:52:08.432955,False,
487,44,experience,Relevant Experience (Clause 5.5),,,,,,original,,2025-11-22 05:52:08.432955,False,
419,42,financial,Financial Requirements – Section 2,,,,,,original,,2025-11-22 04:42:11.226422,False,
420,42,financial,Banking Requirements – Section 9,,,,,,original,,2025-11-22 04:42:11.226422,False,
421,42,financial,Auditor Requirements – Section 10,,,,,,original,,2025-11-22 04:42:11.226422,False,
422,42,license,License Requirements – Section 3,,,,,,original,,2025-11-22 04:42:11.226422,False,
423,42,license,Licensing Requirements – Section 7,,,,,,original,,2025-11-22 04:42:11.226422,False,
424,42,experience,Experience Requirements – Section 6,,,,,,original,,2025-11-22 04:42:11.226422,False,
425,42,experience,Experience Requirements – Section 10,,,,,,original,,2025-11-22 04:42:11.226422,False,
426,42,financial,Eligibility – Financial Requirements (Section 2),,,,,,original,,2025-11-22 04:42:57.567471,False,
427,42,license,Licensing – Mandatory Licences (Section 3),,,,,,original,,2025-11-22 04:42:57.567471,False,
428,42,experience,Experience – Relevant Project History (Section 6),,,,,,original,,2025-11-22 04:42:57.567471,False,
429,42,financial,FINANCIAL REQUIREMENTS (Section 5),,,,,,original,,2025-11-22 04:42:57.567471,False,
430,42,license,LICENSE REQUIREMENTS (Section 6),,,,,,original,,2025-11-22 04:42:57.567471,False,
431,42,experience,EXPERIENCE REQUIREMENTS (Section 9),,,,,,original,,2025-11-22 04:42:57.567471,False,
432,42,financial,Financial Capacity (Section 2.a),,,,,,original,,2025-11-22 04:43:36.702063,False,
433,42,financial,Banking Support (Section 2.b),,,,,,original,,2025-11-22 04:43:36.702063,False,
434,42,license,Licences & Registrations (Section 2.c),,,,,,original,,2025-11-22 04:43:36.702063,False,
435,42,experience,Experience (Section 2.f),,,,,,original,,2025-11-22 04:43:36.702063,False,
436,42,license,Licences & Registrations (Section 5.3),,,,,,original,,2025-11-22 04:43:36.702063,False,
437,42,financial,Financial Capacity (Section 5.1),,,,,,original,,2025-11-22 04:43:36.702063,False,
438,42,experience,Experience (Section 5.6),,,,,,original,,2025-11-22 04:43:36.702063,False,
